"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Carson","Cruz","Rubio","Bush","Christie","Fiorina","Rand.Paul","Kasich","Huckabee","Jindal","Santorum","Graham","Pataki","Gilmore","Perry","Walker","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","polled_party","voter","date_time","compare_date"
"1","Ipsos/Reuters","2015-11-28","2015-12-02","2015-12-03 2000-01-01 17:32:37 UTC",385,"Adults - Republican","Internet",36,17,10,7,11,2,2,4,2,2,NA,1,0,0,0,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23252","http://www.ipsos-na.com/download/pr.aspx?id=15124","Nonpartisan","None","Republican","Adults","2015-12-03 17:32:37","1449192757"
"2","CNN","2015-11-27","2015-12-01","2015-12-04 2000-01-01 12:16:32 UTC",445,"Registered Voters - Republican","Live Phone",36,14,16,12,3,4,3,1,2,2,0,0,0,0,0,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/cnn-23258","http://i2.cdn.turner.com/cnn/2015/images/12/04/cnnorc12042015gopprimarypoll.pdf","Nonpartisan","None","Republican","Registered Voters","2015-12-04 12:16:32","1449260192"
"3","Quinnipiac","2015-11-23","2015-11-30","2015-12-02 2000-01-01 12:04:16 UTC",672,"Registered Voters - Republican","Live Phone",27,16,16,17,5,2,3,2,2,1,NA,0,0,0,0,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23247","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2307","Nonpartisan","None","Republican","Registered Voters","2015-12-02 12:04:16","1449086656"
"4","Ipsos/Reuters","2015-11-21","2015-11-25","2015-11-25 2000-01-01 20:56:33 UTC",352,"Adults - Republican","Internet",37,9,11,10,6,4,3,2,3,3,NA,0,0,2,3,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23238","http://big.assets.huffingtonpost.com/2015ReutersTrackingCorePolitical112515.pdf","Nonpartisan","None","Republican","Adults","2015-11-25 20:56:33","1448513793"
"5","Gravis Marketing/One America News","2015-11-23","2015-11-23","2015-11-25 2000-01-01 15:31:26 UTC",523,"Likely Voters - Republican","Automated Phone",37,15,12,14,8,2,2,3,4,2,NA,1,2,NA,NA,NA,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23235","http://www.oann.com/pollnational/","Sponsor","Rep","Republican","Likely Voters","2015-11-25 15:31:26","1448494286"
"6","YouGov/Economist","2015-11-19","2015-11-23","2015-11-25 2000-01-01 14:14:12 UTC",600,"Likely Voters - Republican","Internet",36,10,12,14,6,3,4,4,4,2,NA,0,1,0,0,NA,NA,3,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23233","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/o77ie8jgv3/econTabReport.pdf","Nonpartisan","None","Republican","Likely Voters","2015-11-25 14:14:12","1448489652"
"7","ABC/Post","2015-11-16","2015-11-19","2015-11-22 2000-01-01 15:00:37 UTC",373,"Registered Voters - Republican","Live Phone",32,22,8,11,6,2,4,3,3,3,NA,1,1,NA,NA,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/abc-post-23205","http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-nov-15-19-2015/1880/","Nonpartisan","None","Republican","Registered Voters","2015-11-22 15:00:37","1448233237"
"8","FOX","2015-11-16","2015-11-19","2015-11-22 2000-01-01 15:14:04 UTC",434,"Likely Voters - Republican","Live Phone",28,18,14,14,5,3,3,2,2,3,NA,NA,NA,1,NA,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/fox-23207","http://www.foxnews.com/politics/interactive/2015/11/20/fox-news-poll-2016-matchups-syrian-refugees/","Nonpartisan","None","Republican","Likely Voters","2015-11-22 15:14:04","1448234044"
"9","Ipsos/Reuters","2015-11-14","2015-11-18","2015-11-19 2000-01-01 18:29:31 UTC",1299,"Adults - Republican","Internet",37,14,8,11,6,3,3,5,2,3,1,1,0,0,0,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23182","http://ipsos-na.com/download/pr.aspx?id=15090","Nonpartisan","None","Republican","Adults","2015-11-19 18:29:31","1447986571"
"10","PPP (D)","2015-11-16","2015-11-17","2015-11-19 2000-01-01 15:02:32 UTC",607,"Likely Voters - Republican","IVR/Online",26,19,14,13,5,3,4,2,3,4,0,0,1,1,0,NA,NA,2,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-23174","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_111915.pdf","Pollster","Dem","Republican","Likely Voters","2015-11-19 15:02:32","1447974152"
"11","Bloomberg/Selzer","2015-11-15","2015-11-17","2015-11-19 2000-01-01 17:27:19 UTC",379,"Registered Voters - Republican","Live Phone",24,20,9,12,6,4,3,3,3,3,NA,1,1,1,NA,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-23179","http://www.scribd.com/doc/290373723/Bloomberg-Politics-National-Poll-GOP-Nov-19-2015","Nonpartisan","None","Republican","Registered Voters","2015-11-19 17:27:19","1447982839"
"12","NBC/SurveyMonkey","2015-11-15","2015-11-17","2015-11-20 2000-01-01 14:12:40 UTC",2440,"Registered Voters - Republican","Internet",28,18,18,11,4,3,3,2,2,2,1,1,0,0,0,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23195","http://www.nbcnews.com/politics/2016-election/poll-trump-retakes-lead-gop-race-cruz-makes-gains-n466651","Nonpartisan","None","Republican","Registered Voters","2015-11-20 14:12:40","1448057560"
"13","Morning Consult","2015-11-13","2015-11-16","2015-11-17 2000-01-01 15:45:58 UTC",774,"Registered Voters - Republican","Internet",38,19,7,7,6,2,3,2,1,3,0,0,1,0,NA,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23158","http://morningconsult.com/wp-content/uploads/2015/11/MC-Tracking-Poll-Toplines-November-13-16-2015.pdf","Nonpartisan","None","Republican","Registered Voters","2015-11-17 15:45:58","1447803958"
"14","Rasmussen","2015-11-11","2015-11-12","2015-11-13 2000-01-01 17:55:34 UTC",572,"Likely Voters - Republican","Automated Phone",27,20,13,16,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-23134","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/here_s_how_the_gop_race_looks_now","Nonpartisan","None","Republican","Likely Voters","2015-11-13 17:55:34","1447466134"
"15","Ipsos/Reuters","2015-11-07","2015-11-11","2015-11-17 2000-01-01 21:36:06 UTC",555,"Adults - Republican","Internet",33,17,10,10,6,1,5,3,1,4,1,2,1,0,0,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23166","http://www.ipsos-na.com/download/pr.aspx?id=15085","Nonpartisan","None","Republican","Adults","2015-11-17 21:36:06","1447824966"
"16","Public Religion Research Institute","2015-11-06","2015-11-10","2015-11-23 2000-01-01 16:21:55 UTC",147,"Likely Voters - Republican","Live Phone",20,27,10,9,8,3,2,0,3,6,NA,NA,NA,NA,NA,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23214","http://big.assets.huffingtonpost.com/AVS-2015-Election-Supplement-Topline.pdf","Nonpartisan","None","Republican","Likely Voters","2015-11-23 16:21:55","1448324515"
"17","YouGov/Economist","2015-11-05","2015-11-09","2015-11-10 2000-01-01 19:09:31 UTC",446,"Registered Voters - Republican","Internet",32,18,10,13,3,3,3,4,4,4,2,1,1,0,1,NA,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23108","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1hhz66took/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-11-10 19:09:31","1447211371"
"18","Morning Consult","2015-11-05","2015-11-08","2015-11-10 2000-01-01 17:55:28 UTC",1567,"Registered Voters - Republican","Internet",34,19,7,7,8,2,2,2,1,3,1,1,0,0,NA,NA,NA,11,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23107","http://big.assets.huffingtonpost.com/151102toplinesmorningconsult.pdf","Nonpartisan","None","Republican","Registered Voters","2015-11-10 17:55:28","1447206928"
"19","Ipsos/Reuters","2015-10-31","2015-11-04","2015-11-05 2000-01-01 18:36:49 UTC",618,"Adults - Republican","Internet",29,19,8,10,10,3,5,2,2,3,1,0,1,1,0,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23076","http://www.ipsos-na.com/download/pr.aspx?id=15026","Nonpartisan","None","Republican","Adults","2015-11-05 18:36:49","1446777409"
"20","McClatchy/Marist","2015-10-29","2015-11-04","2015-11-09 2000-01-01 19:15:11 UTC",431,"Registered Voters - Republican","Live Phone",23,24,8,12,8,2,3,5,4,3,1,1,0,1,0,NA,NA,4,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-23088","http://www.mcclatchydc.com/news/politics-government/election/article43727049.ece/BINARY/Poll%20details","Nonpartisan","None","Republican","Registered Voters","2015-11-09 19:15:11","1447125311"
"21","FOX","2015-11-01","2015-11-03","2015-11-04 2000-01-01 23:23:33 UTC",476,"Likely Voters - Republican","Live Phone",26,23,11,11,4,2,3,4,4,4,0,0,0,0,0,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/fox-23061","http://www.foxnews.com/politics/interactive/2015/10/13/fox-news-poll-biden-more-electable-than-clinton/","Nonpartisan","None","Republican","Likely Voters","2015-11-04 23:23:33","1446708213"
"22","USC/LA Times/SurveyMonkey","2015-10-29","2015-11-03","2015-11-09 2000-01-01 16:34:14 UTC",1292,"Registered Voters - Republican","Internet",25,21,10,12,4,1,4,2,2,2,1,1,0,0,0,NA,NA,13,"http://elections.huffingtonpost.com/pollster/polls/usc-la-times-surveymonkey-23085","http://dornsife.usc.edu/usc-dornsife-los-angeles-times-poll/","Nonpartisan","None","Republican","Registered Voters","2015-11-09 16:34:14","1447115654"
"23","Quinnipiac","2015-10-29","2015-11-02","2015-11-04 2000-01-01 16:23:42 UTC",502,"Registered Voters - Republican","Live Phone",24,23,13,14,4,3,3,2,3,1,0,1,0,0,0,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23059","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2299","Nonpartisan","None","Republican","Registered Voters","2015-11-04 16:23:42","1446683022"
"24","Ipsos/Reuters","2015-10-28","2015-11-02","2015-11-04 2000-01-01 23:38:47 UTC",635,"Adults - Republican","Internet",31,18,6,10,10,3,5,3,3,3,1,1,0,0,0,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23062","http://www.ipsos-na.com/download/pr.aspx?id=15024","Nonpartisan","None","Republican","Adults","2015-11-04 23:38:47","1446709127"
"25","Morning Consult","2015-10-29","2015-11-01","2015-11-03 2000-01-01 20:26:04 UTC",937,"Registered Voters - Republican","Internet",31,21,9,7,7,4,2,3,1,3,1,0,0,1,NA,NA,NA,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23056","http://morningconsult.com/polls/new-poll-jeb-bushs-popularity-problem-trump-down-for-second-consecutive-week/","Nonpartisan","None","Republican","Registered Voters","2015-11-03 20:26:04","1446611164"
"26","Zogby (Internet)","2015-10-30","2015-10-31","2015-11-09 2000-01-01 20:46:00 UTC",344,"Likely Voters - Republican","Internet",30,17,8,10,7,2,2,4,2,2,1,1,1,0,0,NA,NA,11,"http://elections.huffingtonpost.com/pollster/polls/zogby-internet-23090","http://www.zogbyanalytics.com/news/670-trump-still-leads-in-new-zogby-analytics-poll","Nonpartisan","None","Republican","Likely Voters","2015-11-09 20:46:00","1447130760"
"27","NBC/SurveyMonkey","2015-10-27","2015-10-29","2015-11-03 2000-01-01 21:53:33 UTC",3387,"Registered Voters - Republican","Internet",26,26,10,9,5,2,4,2,2,2,0,0,0,0,0,NA,NA,8,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23057","http://www.scribd.com/doc/287955649/Go-p-Race-Survey-Monkey-Top-Lines","Nonpartisan","None","Republican","Registered Voters","2015-11-03 21:53:33","1446616413"
"28","NBC/WSJ","2015-10-25","2015-10-29","2015-11-02 2000-01-01 23:33:31 UTC",400,"Likely Voters - Republican","Live Phone",23,29,10,11,8,3,3,2,3,3,0,0,0,0,0,NA,NA,4,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23050","http://www.nbcnews.com/politics/2016-election/nbc-wsj-poll-carson-surges-lead-national-gop-race-n456006","Nonpartisan","None","Republican","Likely Voters","2015-11-02 23:33:31","1446536011"
"29","IBD/TIPP","2015-10-24","2015-10-29","2015-10-31 2000-01-01 22:19:16 UTC",402,"Registered Voters - Republican","Live Phone",28,23,6,11,6,1,3,2,1,1,2,1,0,0,NA,NA,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23038","http://news.investors.com/ibd-editorials-polls/103015-778378-donald-trump-leads-ben-carson-second-in-ibd-tipp-poll.htm","Nonpartisan","None","Republican","Registered Voters","2015-10-31 22:19:16","1446355156"
"30","Ipsos/Reuters","2015-10-24","2015-10-28","2015-10-29 2000-01-01 16:44:01 UTC",584,"Adults - Republican","Internet",29,27,5,6,9,3,4,3,4,2,1,0,1,1,0,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23026","http://www.ipsos-na.com/download/pr.aspx?id=15018","Nonpartisan","None","Republican","Adults","2015-10-29 16:44:01","1446162241"
"31","YouGov/Economist","2015-10-23","2015-10-27","2015-10-28 2000-01-01 18:21:17 UTC",447,"Registered Voters - Republican","Internet",32,18,8,11,8,2,3,4,4,2,1,1,1,0,0,NA,NA,3,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23013","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/uobybjo8zg/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-10-28 18:21:17","1446081677"
"32","Gravis Marketing/One America News","2015-10-26","2015-10-26","2015-10-27 2000-01-01 21:27:20 UTC",906,"Registered Voters - Republican","Automated Phone",36,22,6,11,8,2,6,2,3,3,0,1,2,0,NA,NA,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23004","http://www.prnewswire.com/news-releases/trumps-national-lead-increases-to-356-300166946.html","Sponsor","Rep","Republican","Registered Voters","2015-10-27 21:27:20","1446006440"
"33","Morning Consult","2015-10-22","2015-10-25","2015-10-26 2000-01-01 21:12:38 UTC",714,"Registered Voters - Republican","Internet",35,20,3,6,8,3,3,3,2,4,2,1,0,1,NA,NA,NA,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22994","http://morningconsult.com/wp-content/uploads/2015/10/151006_topline_trend_v2_AP.pdf","Nonpartisan","None","Republican","Registered Voters","2015-10-26 21:12:38","1445919158"
"34","CBS/Times","2015-10-21","2015-10-25","2015-10-27 2000-01-01 12:12:22 UTC",575,"Likely Voters - Republican","Live Phone",22,26,4,8,7,1,7,4,4,4,0,1,2,0,0,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-22995","http://www.scribd.com/doc/287251908/Toplines-for-a-m-CBS-NYT-GOP-poll","Nonpartisan","None","Republican","Likely Voters","2015-10-27 12:12:22","1445973142"
"35","Ipsos/Reuters","2015-10-17","2015-10-21","2015-10-23 2000-01-01 17:26:32 UTC",806,"Adults - Republican","Internet",31,18,5,6,9,3,6,3,4,4,2,1,1,1,0,NA,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22974","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7015","Nonpartisan","None","Republican","Adults","2015-10-23 17:26:32","1445646392"
"36","Morning Consult","2015-10-15","2015-10-19","2015-10-20 2000-01-01 17:31:31 UTC",770,"Registered Voters - Republican","Internet",40,14,5,5,6,4,3,2,2,3,1,1,1,1,NA,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22950","http://morningconsult.com/wp-content/uploads/2015/10/151005_topline_trend_v2_TS.pdf","Nonpartisan","None","Republican","Registered Voters","2015-10-20 17:31:31","1445387491"
"37","ABC/Post","2015-10-15","2015-10-18","2015-10-21 2000-01-01 12:14:45 UTC",364,"Registered Voters - Republican","Live Phone",32,22,6,10,7,3,5,2,2,3,0,0,1,1,NA,NA,NA,3,"http://elections.huffingtonpost.com/pollster/polls/abc-post-22956","http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-oct-15-18-2015/1852/","Nonpartisan","None","Republican","Registered Voters","2015-10-21 12:14:45","1445454885"
"38","Monmouth University","2015-10-15","2015-10-18","2015-10-20 2000-01-01 16:24:29 UTC",348,"Registered Voters - Republican","Live Phone",28,18,10,6,5,3,6,4,1,4,1,0,1,0,0,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22949","http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/1c284c69-c5e0-4498-bd3b-797b7ba1be54.pdf","Nonpartisan","None","Republican","Registered Voters","2015-10-20 16:24:29","1445383469"
"39","NBC/WSJ","2015-10-15","2015-10-18","2015-10-19 2000-01-01 21:14:25 UTC",400,"Likely Voters - Republican","Live Phone",25,22,9,13,8,1,7,2,3,3,0,0,0,0,0,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22940","http://www.scribd.com/doc/286132150/15462-NBCWSJ-Oct-Poll-Final","Nonpartisan","None","Republican","Likely Voters","2015-10-19 21:14:25","1445314465"
"40","Emerson College Polling Society","2015-10-16","2015-10-17","2015-10-20 2000-01-01 18:55:01 UTC",403,"Likely Voters - Republican","Automated Phone",32,23,6,14,8,2,6,0,3,4,NA,0,NA,NA,NA,NA,NA,2,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22951","http://big.assets.huffingtonpost.com/ECPS_POTUS_10.19.pdf","Nonpartisan","None","Republican","Likely Voters","2015-10-20 18:55:01","1445392501"
"41","CNN","2015-10-14","2015-10-17","2015-10-20 2000-01-01 14:11:20 UTC",298,"Registered Voters - Republican","Live Phone",27,22,4,8,8,4,4,5,3,5,0,2,1,0,0,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/cnn-22943","http://www.cnn.com/2015/10/20/politics/donald-trump-ben-carson-carly-fioriana-2016-poll-republicans/index.html","Nonpartisan","None","Republican","Registered Voters","2015-10-20 14:11:20","1445375480"
"42","NBC/SurveyMonkey","2015-10-13","2015-10-15","2015-10-16 2000-01-01 20:53:14 UTC",1881,"Registered Voters - Republican","Internet",28,23,6,9,5,2,6,2,3,3,1,0,0,0,0,NA,NA,7,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22931","http://www.scribd.com/doc/285396771/NBC-SurveyMonkey-ToplinesMethod10-15","Nonpartisan","None","Republican","Registered Voters","2015-10-16 20:53:14","1445053994"
"43","Ipsos/Reuters","2015-10-10","2015-10-14","2015-10-16 2000-01-01 21:05:43 UTC",492,"Adults - Republican","Internet",33,19,4,8,11,3,3,4,2,3,1,1,0,0,1,NA,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22933","http://ipsos-na.com/news-polls/pressrelease.aspx?id=7027","Nonpartisan","None","Republican","Adults","2015-10-16 21:05:43","1445054743"
"44","Morning Consult","2015-10-08","2015-10-12","2015-10-13 2000-01-01 15:48:47 UTC",749,"Registered Voters - Republican","Internet",34,20,5,5,9,2,5,3,3,4,0,1,1,1,NA,NA,NA,7,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22902","http://morningconsult.com/2015/10/ahead-of-debate-clinton-lead-grows/","Nonpartisan","None","Republican","Registered Voters","2015-10-13 15:48:47","1444776527"
"45","YouGov/Economist","2015-10-08","2015-10-12","2015-10-14 2000-01-01 21:28:25 UTC",434,"Registered Voters - Republican","Internet",28,18,8,11,7,3,9,3,3,3,1,0,1,0,0,NA,NA,3,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22919","https://today.yougov.com/news/2015/10/14/whats-happened-jeb-bush/","Nonpartisan","None","Republican","Registered Voters","2015-10-14 21:28:25","1444883305"
"46","CBS","2015-10-04","2015-10-08","2015-10-12 2000-01-01 15:48:21 UTC",339,"Registered Voters - Republican","Live Phone",27,21,9,8,6,3,6,4,2,2,0,1,NA,0,NA,NA,NA,11,"http://elections.huffingtonpost.com/pollster/polls/cbs-22888","http://www.scribd.com/doc/284425884/CBS-News-poll-2016-Democratic-presidential-campaign","Nonpartisan","None","Republican","Registered Voters","2015-10-12 15:48:21","1444690101"
"47","Ipsos/Reuters","2015-10-03","2015-10-07","2015-10-08 2000-01-01 14:41:05 UTC",602,"Adults - Republican","Internet",31,17,4,7,14,3,7,4,1,4,0,0,0,0,0,NA,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22871","http://ipsos-na.com/download/pr.aspx?id=14945","Nonpartisan","None","Republican","Adults","2015-10-08 14:41:05","1444340465"
"48","Morning Consult","2015-10-02","2015-10-05","2015-10-06 2000-01-01 21:34:11 UTC",807,"Registered Voters - Republican","Internet",31,13,5,10,7,4,6,3,4,2,0,1,1,1,NA,NA,NA,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22858","http://morningconsult.com/wp-content/uploads/2015/10/151001_topline_trend_v1_AP.pdf","Nonpartisan","None","Republican","Registered Voters","2015-10-06 21:34:11","1444192451"
"49","Fairleigh Dickinson","2015-10-01","2015-10-05","2015-10-08 2000-01-01 22:22:35 UTC",305,"Registered Voters - Republican","Live Phone",26,22,5,8,7,3,7,4,1,6,1,0,0,0,0,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-22878","http://view2.fdu.edu/publicmind/2015/151008/","Nonpartisan","None","Republican","Registered Voters","2015-10-08 22:22:35","1444368155"
"50","PPP (D)","2015-10-01","2015-10-04","2015-10-06 2000-01-01 18:56:54 UTC",627,"Likely Voters - Republican","IVR/Online",27,17,7,13,10,2,6,2,4,4,1,2,1,1,0,NA,NA,3,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22856","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NationalGOP_100615.pdf","Pollster","Dem","Republican","Likely Voters","2015-10-06 18:56:54","1444183014"
"51","Public Religion Research Institute","2015-09-11","2015-10-04","2015-11-23 2000-01-01 17:38:53 UTC",308,"Likely Voters - Republican","Live Phone",25,16,5,9,11,3,13,2,4,5,0,1,NA,NA,NA,NA,3,1,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23215","http://big.assets.huffingtonpost.com/American-Values-Survey-2015-Topline1.pdf","Nonpartisan","None","Republican","Likely Voters","2015-11-23 17:38:53","1448329133"
"52","Gravis Marketing/One America News","2015-09-30","2015-10-01","2015-10-07 2000-01-01 17:07:13 UTC",898,"Likely Voters - Republican","Automated Phone",35,17,7,11,7,2,9,3,3,5,0,1,0,0,NA,NA,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22863","http://www.prnewswire.com/news-releases/trump-dominates-one-america-news-networks-national-poll-300153522.html","Sponsor","Rep","Republican","Likely Voters","2015-10-07 17:07:13","1444262833"
"53","IBD/TIPP","2015-09-26","2015-10-01","2015-10-05 2000-01-01 15:55:07 UTC",377,"Registered Voters - Republican","Live Phone",17,24,6,11,8,2,9,3,4,2,NA,NA,NA,NA,NA,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-22844","http://news.investors.com/ibd-editorials-polls/100215-773897-donald-trump-trails-ben-carson-in-ibd-tipp-poll.htm?ref=HPLNewshttp://news.investors.com/ibd-editorials-polls/100215-773897-donald-trump-trails-ben-carson-in-ibd-tipp-poll.htm?ref=HPLNews","Nonpartisan","None","Republican","Registered Voters","2015-10-05 15:55:07","1444085707"
"54","Ipsos/Reuters","2015-09-26","2015-09-30","2015-10-02 2000-01-01 16:48:00 UTC",481,"Adults - Republican","Internet",32,12,5,7,10,5,8,7,1,3,1,2,0,0,1,NA,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22834","http://ipsos-na.com/download/pr.aspx?id=14934","Nonpartisan","None","Republican","Adults","2015-10-02 16:48:00","1443829680"
"55","YouGov/Economist","2015-09-25","2015-09-29","2015-10-01 2000-01-01 18:09:28 UTC",450,"Registered Voters - Republican","Internet",25,15,9,16,7,3,8,4,4,2,2,1,0,0,1,NA,NA,2,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22830","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/8w1iq3dtp2/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-10-01 18:09:28","1443748168"
