"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Carson","Cruz","Rubio","Bush","Christie","Fiorina","Rand.Paul","Kasich","Huckabee","Jindal","Santorum","Graham","Pataki","Gilmore","Perry","Walker","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","polled_party","voter","date_time","compare_date"
"56","Suffolk/USA Today","2015-09-24","2015-09-28","2015-09-30 2000-01-01 16:27:03 UTC",380,"Likely Voters - Republican","Live Phone",23,13,6,9,8,1,13,2,2,2,1,0,1,0,NA,NA,NA,18,"http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-22822","http://www.suffolk.edu/documents/SUPRC/10_1_2015_complete_marginals.pdf","Nonpartisan","None","Republican","Likely Voters","2015-09-30 16:27:03","1443655623"
"57","Morning Consult","2015-09-24","2015-09-27","2015-09-29 2000-01-01 19:40:45 UTC",637,"Registered Voters - Republican","Internet",30,15,5,9,10,4,9,3,1,3,0,1,0,1,NA,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22813","http://morningconsult.com/2015/09/poll-biden-broadly-favorable-but-clinton-still-leads/","Nonpartisan","None","Republican","Registered Voters","2015-09-29 19:40:45","1443580845"
"58","NBC/WSJ","2015-09-20","2015-09-24","2015-09-28 2000-01-01 15:55:22 UTC",230,"Likely Voters - Republican","Live Phone",21,20,5,11,7,3,11,3,6,2,1,1,0,0,0,NA,NA,8,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22803","http://www.nbcnews.com/meet-the-press/nbc-wsj-poll-2016-gop-race-n433991","Nonpartisan","None","Republican","Likely Voters","2015-09-28 15:55:22","1443480922"
"59","Ipsos/Reuters","2015-09-19","2015-09-23","2015-09-25 2000-01-01 21:18:59 UTC",572,"Adults - Republican","Internet",30,18,5,6,10,3,8,2,3,3,1,1,1,0,2,NA,2,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22797","http://www.ipsos-na.com/download/pr.aspx?id=14901","Nonpartisan","None","Republican","Adults","2015-09-25 21:18:59","1443241139"
"60","FOX","2015-09-20","2015-09-22","2015-09-24 2000-01-01 22:22:11 UTC",398,"Likely Voters - Republican","Live Phone",26,18,8,9,7,5,9,2,4,3,0,0,0,1,0,NA,NA,4,"http://elections.huffingtonpost.com/pollster/polls/fox-22789","http://www.foxnews.com/politics/interactive/2015/09/24/fox-news-poll-voters-believe-iran-deal-to-make-us-less-safe-obama-job-approval/","Nonpartisan","None","Republican","Likely Voters","2015-09-24 22:22:11","1443158531"
"61","Bloomberg/Selzer","2015-09-18","2015-09-21","2015-09-24 2000-01-01 22:08:04 UTC",391,"Registered Voters - Republican","Live Phone",21,16,5,8,13,4,11,2,4,3,1,1,0,0,0,NA,1,10,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-22787","http://www.bloomberg.com/politics/articles/2015-09-24/most-agree-with-trump-on-america-s-lost-greatness-bloomberg-poll-finds","Nonpartisan","None","Republican","Registered Voters","2015-09-24 22:08:04","1443157684"
"62","Quinnipiac","2015-09-17","2015-09-21","2015-09-24 2000-01-01 22:15:01 UTC",737,"Registered Voters - Republican","Live Phone",25,17,7,9,10,2,12,1,2,2,0,0,0,1,0,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22788","http://www.quinnipiac.edu/images/polling/us/us09242015_ui47mfb.pdf","Nonpartisan","None","Republican","Registered Voters","2015-09-24 22:15:01","1443158101"
"63","Morning Consult","2015-09-18","2015-09-20","2015-09-22 2000-01-01 17:53:47 UTC",1551,"Registered Voters - Republican","Internet",32,12,5,5,11,4,6,3,2,4,1,1,0,1,NA,NA,3,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22771","http://morningconsult.com/wp-content/uploads/2015/09/150907_topline_MERGED-trend_v2_KD.pdf","Nonpartisan","None","Republican","Registered Voters","2015-09-22 17:53:47","1442969627"
"64","Zogby (Internet)","2015-09-18","2015-09-19","2015-09-22 2000-01-01 18:52:41 UTC",405,"Likely Voters - Republican","Internet",33,13,5,4,9,3,7,4,4,2,0,1,1,0,0,NA,2,12,"http://elections.huffingtonpost.com/pollster/polls/zogby-internet-22775","http://www.zogbyanalytics.com/news/649-zogby-poll-trump-widens-lead-after-gop-debate","Nonpartisan","None","Republican","Likely Voters","2015-09-22 18:52:41","1442973161"
"65","CNN","2015-09-17","2015-09-19","2015-09-21 2000-01-01 19:19:45 UTC",924,"Registered Voters - Republican","Live Phone",24,14,6,11,9,3,15,4,2,6,0,1,0,0,0,NA,0,4,"http://elections.huffingtonpost.com/pollster/polls/cnn-22761","http://i2.cdn.turner.com/cnn/2015/images/09/20/rel10a.pdf","Nonpartisan","None","Republican","Registered Voters","2015-09-21 19:19:45","1442888385"
"66","NBC/SurveyMonkey","2015-09-16","2015-09-18","2015-09-22 2000-01-01 05:58:26 UTC",2070,"Registered Voters - Democrat","Internet",29,14,7,7,8,3,11,3,2,2,0,0,0,1,0,NA,3,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22768","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/NBC-SM_ToplinesMethod9%2019.pdf","Nonpartisan","None","Democrat","Registered Voters","2015-09-22 05:58:26","1442926706"
"67","Gravis Marketing/One America News","2015-09-16","2015-09-16","2015-09-18 2000-01-01 22:31:36 UTC",1337,"Likely Voters - Republican","Automated Phone",22,12,6,15,6,4,22,2,4,2,1,1,0,0,1,NA,3,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22755","http://gravismarketing.com/polling-and-market-research/post-debate-poll/","Sponsor","Rep","Republican","Likely Voters","2015-09-18 22:31:36","1442640696"
"68","Ipsos/Reuters","2015-09-12","2015-09-16","2015-09-18 2000-01-01 19:33:27 UTC",532,"Adults - Republican","Internet",35,14,5,3,8,6,2,2,2,7,1,1,0,0,0,NA,4,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22748","http://www.ipsos-na.com/download/pr.aspx?id=14883","Nonpartisan","None","Republican","Adults","2015-09-18 19:33:27","1442630007"
"69","YouGov/Economist","2015-09-11","2015-09-15","2015-09-18 2000-01-01 04:06:51 UTC",436,"Registered Voters - Republican","Internet",33,17,8,7,7,2,6,4,3,2,0,1,1,1,0,0,5,4,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22742","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lq8iyjss0l/econToplines_v1.pdf","Nonpartisan","None","Republican","Registered Voters","2015-09-18 04:06:51","1442574411"
"70","Morning Consult","2015-09-11","2015-09-13","2015-09-18 2000-01-01 03:24:39 UTC",756,"Registered Voters - Republican","Internet",33,17,6,3,9,2,3,5,2,3,1,1,0,2,NA,NA,2,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22738","http://morningconsult.com/wp-content/uploads/2015/09/150904_topline_trend_v1_JW.pdf","Nonpartisan","None","Republican","Registered Voters","2015-09-18 03:24:39","1442571879"
"71","CBS/Times","2015-09-09","2015-09-13","2015-09-18 2000-01-01 03:01:07 UTC",376,"Likely Voters - Republican","Live Phone",27,23,5,6,6,1,4,3,3,6,0,1,0,0,NA,1,2,9,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-22735","http://www.cbsnews.com/news/poll-gop-race-donald-trump-maintains-lead-but-ben-carson-gains/","Nonpartisan","None","Republican","Likely Voters","2015-09-18 03:01:07","1442570467"
"72","ABC/Post","2015-09-07","2015-09-10","2015-09-14 2000-01-01 20:25:47 UTC",342,"Registered Voters - Republican","Live Phone",33,20,7,7,8,1,2,5,3,3,1,1,0,0,0,1,2,5,"http://elections.huffingtonpost.com/pollster/polls/abc-post-22723","http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2015/09/14/National-Politics/Polling/release_409.xml?uuid=QelAQFqVEeWEdXgcyYUWUg","Nonpartisan","None","Republican","Registered Voters","2015-09-14 20:25:47","1442287547"
"73","Ipsos/Reuters","2015-09-05","2015-09-09","2015-09-11 2000-01-01 20:35:48 UTC",469,"Adults - Republican","Internet",35,12,6,4,8,3,2,3,3,5,2,2,1,0,0,2,6,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22709","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=6984","Nonpartisan","None","Republican","Adults","2015-09-11 20:35:48","1442028948"
"74","Emerson College Polling Society","2015-09-05","2015-09-08","2015-09-10 2000-01-01 18:55:35 UTC",409,"Likely Voters - Republican","Automated Phone",34,20,6,8,12,1,3,1,4,4,NA,NA,0,NA,NA,0,5,2,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22699","http://media.wix.com/ugd/3bebb2_539dbddeed944868b6fc58b193873b4b.pdf","Nonpartisan","None","Republican","Likely Voters","2015-09-10 18:55:35","1441936535"
"75","CNN","2015-09-04","2015-09-08","2015-09-10 2000-01-01 18:22:16 UTC",474,"Registered Voters - Republican","Live Phone",32,19,7,3,9,2,3,3,2,5,1,1,1,0,0,0,5,4,"http://elections.huffingtonpost.com/pollster/polls/cnn-22698","http://i2.cdn.turner.com/cnn/2015/images/09/10/rel9a.-.gop.2016.pdf","Nonpartisan","None","Republican","Registered Voters","2015-09-10 18:22:16","1441934536"
"76","Morning Consult","2015-09-04","2015-09-07","2015-09-11 2000-01-01 01:23:37 UTC",722,"Registered Voters - Republican","Internet",31,18,5,4,9,4,3,2,2,4,1,1,1,0,NA,3,4,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22702","http://morningconsult.com/2015/09/poll-carson-sprints-to-second-as-trumps-lead-softens/","Nonpartisan","None","Republican","Registered Voters","2015-09-11 01:23:37","1441959817"
"77","Monmouth University","2015-08-31","2015-09-02","2015-09-03 2000-01-01 21:13:28 UTC",366,"Registered Voters - Republican","Live Phone",30,18,8,5,8,2,4,2,2,4,0,0,0,0,0,1,3,11,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22655","http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/6f102b2c-508f-4bc3-8cd9-6f650f4bcc3a.pdf","Nonpartisan","None","Republican","Registered Voters","2015-09-03 21:13:28","1441340008"
"78","Ipsos/Reuters","2015-08-29","2015-09-02","2015-09-05 2000-01-01 01:01:15 UTC",578,"Adults - Republican","Internet",31,15,6,3,12,2,3,2,5,6,1,1,0,0,0,2,5,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22681","http://big.assets.huffingtonpost.com/2015ReutersTrackingCorePolitical9.02.15.pdf","Nonpartisan","None","Republican","Adults","2015-09-05 01:01:15","1441440075"
"79","YouGov/Economist","2015-08-28","2015-09-01","2015-09-04 2000-01-01 00:23:18 UTC",429,"Registered Voters - Republican","Internet",36,11,6,7,8,3,3,4,4,4,1,1,1,NA,0,0,6,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22658","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/i2pntevdjk/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-09-04 00:23:18","1441351398"
"80","Morning Consult","2015-08-28","2015-08-30","2015-09-01 2000-01-01 01:13:04 UTC",769,"Registered Voters - Republican","Internet",37,9,4,6,9,3,3,4,2,6,1,2,0,0,NA,1,5,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22639","http://morningconsult.com/2015/08/trump-clinton-lead-primary-matchups-bush-ties-carson-for-runner-up/","Nonpartisan","None","Republican","Registered Voters","2015-09-01 01:13:04","1441095184"
"81","PPP (D)","2015-08-28","2015-08-30","2015-09-01 2000-01-01 18:52:32 UTC",572,"Likely Voters - Republican","IVR/Online",29,15,6,7,9,2,8,1,6,5,0,2,0,0,1,1,5,1,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22643","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_90115.pdf","Pollster","Dem","Republican","Likely Voters","2015-09-01 18:52:32","1441158752"
"82","Ipsos/Reuters","2015-08-22","2015-08-26","2015-08-28 2000-01-01 22:44:47 UTC",412,"Adults - Republican","Internet",30,8,5,5,7,2,5,5,1,10,1,1,1,0,1,3,5,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22625","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=6965","Nonpartisan","None","Republican","Adults","2015-08-28 22:44:47","1440827087"
"83","Quinnipiac","2015-08-20","2015-08-25","2015-08-27 2000-01-01 20:23:23 UTC",666,"Registered Voters - Republican","Live Phone",28,12,7,7,7,4,5,2,5,3,0,1,0,0,0,1,6,11,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22620","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2274","Nonpartisan","None","Republican","Registered Voters","2015-08-27 20:23:23","1440732203"
"84","Gravis Marketing/One America News","2015-08-21","2015-08-22","2015-08-28 2000-01-01 01:14:31 UTC",1211,"Likely Voters - Republican","Automated Phone",40,13,7,5,10,1,5,2,5,4,1,1,1,1,NA,2,4,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22623","http://www.oann.com/trump-breaks-new-ceiling-in-national-gop-poll/","Sponsor","Rep","Republican","Likely Voters","2015-08-28 01:14:31","1440749671"
"85","Ipsos/Reuters","2015-08-15","2015-08-19","2015-08-22 2000-01-01 01:07:31 UTC",291,"Adults - Republican","Internet",29,9,4,4,10,4,5,5,2,7,2,1,1,0,0,4,9,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22595","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=6956","Nonpartisan","None","Republican","Adults","2015-08-22 01:07:31","1440230851"
"86","Civis Analytics (D)","2015-08-10","2015-08-19","2015-08-27 2000-01-01 19:36:25 UTC",757,"Likely Voters - Republican","Live Phone",16,11,7,7,9,2,3,3,3,7,0,1,0,0,0,2,5,24,"http://elections.huffingtonpost.com/pollster/polls/civis-analytics-d-22618","https://civisanalytics.com/blog/data-science/2015/08/26/republican-primary-poll-august2015/","Pollster","Dem","Republican","Likely Voters","2015-08-27 19:36:25","1440729385"
"87","YouGov/Economist","2015-08-14","2015-08-18","2015-08-24 2000-01-01 22:00:52 UTC",451,"Registered Voters - Republican","Internet",25,11,7,9,9,3,6,3,4,3,1,1,0,0,1,0,9,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22601","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zvg9hui4lt/econToplines.pdf","Nonpartisan","None","Republican","Registered Voters","2015-08-24 22:00:52","1440478852"
"88","Morning Consult","2015-08-14","2015-08-16","2015-08-18 2000-01-01 20:07:58 UTC",783,"Registered Voters - Republican","Internet",32,7,5,6,12,4,4,4,3,6,1,1,1,0,NA,2,3,11,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22573","http://morningconsult.com/2015/08/trump-leads-gop-field-fiorina-rises-as-walker-fades/","Nonpartisan","None","Republican","Registered Voters","2015-08-18 20:07:58","1439953678"
"89","CNN","2015-08-13","2015-08-16","2015-08-18 2000-01-01 18:08:54 UTC",506,"Registered Voters - Republican","Live Phone",24,9,5,8,13,3,5,6,5,4,0,1,0,0,0,2,8,4,"http://elections.huffingtonpost.com/pollster/polls/cnn-22572","http://i2.cdn.turner.com/cnn/2015/images/08/17/rel8a.-.gop.2016.pdf","Nonpartisan","None","Republican","Registered Voters","2015-08-18 18:08:54","1439946534"
"90","FOX","2015-08-11","2015-08-13","2015-08-17 2000-01-01 19:09:50 UTC",381,"Likely Voters - Republican","Live Phone",25,12,10,4,9,3,5,3,4,6,1,1,0,1,0,1,6,7,"http://elections.huffingtonpost.com/pollster/polls/fox-22562","http://www.foxnews.com/politics/interactive/2015/08/14/fox-news-poll-sanders-gains-on-clinton/","Nonpartisan","None","Republican","Likely Voters","2015-08-17 19:09:50","1439863790"
"91","Ipsos/Reuters","2015-08-08","2015-08-12","2015-08-14 2000-01-01 21:17:02 UTC",457,"Adults - Republican","Internet",21,8,5,8,12,3,6,6,1,7,2,1,2,1,NA,2,5,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22559","http://www.ipsos-na.com/download/pr.aspx?id=14767","Nonpartisan","None","Republican","Adults","2015-08-14 21:17:02","1439612222"
"92","Rasmussen","2015-08-09","2015-08-10","2015-08-12 2000-01-01 01:40:22 UTC",651,"Likely Voters - Republican","Automated Phone",17,8,7,10,10,4,9,4,4,3,1,1,1,0,1,1,9,11,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-22544","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/has_the_donald_peaked","Nonpartisan","None","Republican","Likely Voters","2015-08-12 01:40:22","1439368822"
"93","Ipsos/Reuters","2015-08-06","2015-08-10","2015-08-11 2000-01-01 00:21:44 UTC",278,"Adults - Republican","Internet",24,8,5,8,12,1,6,3,4,8,1,1,3,0,NA,1,7,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22529","http://big.assets.huffingtonpost.com/2015ReutersTracking08.10.2015.pdf","Nonpartisan","None","Republican","Adults","2015-08-11 00:21:44","1439277704"
"94","Morning Consult","2015-08-07","2015-08-09","2015-08-10 2000-01-01 21:38:34 UTC",746,"Registered Voters - Republican","Internet",32,9,4,6,11,4,3,5,3,4,1,1,1,0,NA,1,6,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22526","http://big.assets.huffingtonpost.com/150802_topline_trend_v4_KD.pdf","Nonpartisan","None","Republican","Registered Voters","2015-08-10 21:38:34","1439267914"
"95","NBC/SurveyMonkey","2015-08-07","2015-08-08","2015-08-10 2000-01-01 20:33:47 UTC",1591,"Registered Voters - Republican","Internet",23,11,13,8,7,1,8,5,2,4,1,0,1,0,0,2,7,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22522","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/NBC-SM%20Post%20Debate%20Poll%208%2009%2015.pdf","Nonpartisan","None","Republican","Registered Voters","2015-08-10 20:33:47","1439264027"
"96","Ipsos/Reuters","2015-08-01","2015-08-05","2015-08-07 2000-01-01 01:31:53 UTC",344,"Adults - Republican","Internet",24,5,6,4,16,3,1,7,3,5,1,2,3,0,NA,4,12,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22515","http://ipsos-na.com/news-polls/pressrelease.aspx?id=6931","Nonpartisan","None","Republican","Adults","2015-08-07 01:31:53","1438936313"
"97","Zogby (Internet)/ University of Akron","2015-08-03","2015-08-04","2015-08-05 2000-01-01 21:11:30 UTC",565,"Likely Voters - Republican","Internet",26,2,5,3,17,3,1,3,1,3,2,1,0,1,0,2,5,25,"http://elections.huffingtonpost.com/pollster/polls/zogby-internet-university-of-akron-22495","http://www.uakron.edu/dotAsset/fb6aadf4-05ff-4956-a26b-447bfb7fd28f.pdf","Nonpartisan","None","Republican","Likely Voters","2015-08-05 21:11:30","1438834290"
"98","YouGov/Economist","2015-07-31","2015-08-04","2015-08-07 2000-01-01 21:46:40 UTC",424,"Registered Voters - Republican","Internet",26,6,6,8,12,4,2,6,1,3,3,0,1,0,0,2,14,4,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22516","https://today.yougov.com/news/2015/08/05/gop-debate-trumps-moment/","Nonpartisan","None","Republican","Registered Voters","2015-08-07 21:46:40","1439009200"
"99","Morning Consult","2015-07-31","2015-08-03","2015-08-05 2000-01-01 01:23:17 UTC",783,"Registered Voters - Republican","Internet",25,7,7,6,12,3,1,5,2,5,3,2,0,1,NA,3,8,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22487","http://big.assets.huffingtonpost.com/150706_crosstabs_trend_v1_JW.pdf","Nonpartisan","None","Republican","Registered Voters","2015-08-05 01:23:17","1438762997"
"100","FOX","2015-07-30","2015-08-02","2015-08-04 2000-01-01 02:31:58 UTC",475,"Likely Voters - Republican","Live Phone",26,7,6,5,15,3,2,5,3,6,1,2,0,0,0,1,9,7,"http://elections.huffingtonpost.com/pollster/polls/fox-22473","http://www.foxnews.com/politics/interactive/2015/08/03/poll-new-high-for-trump-new-low-for-clinton/","Nonpartisan","None","Republican","Likely Voters","2015-08-04 02:31:58","1438680718"
"101","Monmouth University","2015-07-30","2015-08-02","2015-08-03 2000-01-01 19:29:52 UTC",423,"Registered Voters - Republican","Live Phone",26,5,6,4,12,4,2,4,3,6,1,1,1,0,0,2,11,11,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22461","http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/67f674c8-fd4a-4a93-afbc-8b246a83da56.pdf","Nonpartisan","None","Republican","Registered Voters","2015-08-03 19:29:52","1438655392"
"102","Bloomberg/Selzer","2015-07-30","2015-08-02","2015-08-04 2000-01-01 19:22:50 UTC",500,"Registered Voters - Republican","Live Phone",21,5,4,6,10,4,1,5,4,7,1,2,1,0,0,2,8,18,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-22475","http://images.businessweek.com/cms/2015-08-04/8302475320_tue.pdf","Nonpartisan","None","Republican","Registered Voters","2015-08-04 19:22:50","1438741370"
"103","CBS","2015-07-29","2015-08-02","2015-08-04 2000-01-01 20:36:21 UTC",408,"Likely Voters - Republican","Live Phone",24,6,6,6,13,3,0,4,1,8,2,1,1,1,1,2,10,12,"http://elections.huffingtonpost.com/pollster/polls/cbs-22476","http://www.scribd.com/doc/273490309/CBS-News-GOP-presidential-candidates-poll","Nonpartisan","None","Republican","Likely Voters","2015-08-04 20:36:21","1438745781"
"104","NBC/WSJ","2015-07-26","2015-07-30","2015-08-03 2000-01-01 01:44:59 UTC",252,"Likely Voters - Republican","Live Phone",19,10,9,5,14,3,0,6,3,6,1,1,0,0,0,3,15,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22460","http://msnbcmedia.msn.com/i/MSNBC/Components/Photo/_new/15313JulyNBCWSJPOLL.pdf","Nonpartisan","None","Republican","Likely Voters","2015-08-03 01:44:59","1438591499"
"105","Gravis Marketing/One America News","2015-07-29","2015-07-29","2015-08-05 2000-01-01 22:47:03 UTC",732,"Likely Voters - Republican","Automated Phone",31,6,6,5,13,3,2,4,5,6,0,2,1,0,NA,3,13,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22497","http://www.oann.com/pollnational/","Sponsor","Rep","Republican","Likely Voters","2015-08-05 22:47:03","1438840023"
"106","Rasmussen","2015-07-28","2015-07-29","2015-08-05 2000-01-01 19:19:16 UTC",471,"Likely Voters - Republican","Automated Phone",26,5,7,5,10,2,1,3,5,7,2,2,1,1,NA,2,14,7,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-22490","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/trump_is_well_ahead_as_first_debate_looms","Nonpartisan","None","Republican","Likely Voters","2015-08-05 19:19:16","1438827556"
"107","Ipsos/Reuters","2015-07-25","2015-07-29","2015-08-05 2000-01-01 00:43:28 UTC",409,"Adults - Republican","Internet",27,6,3,5,11,4,2,7,4,5,2,2,2,2,NA,3,7,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22486","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=6928","Nonpartisan","None","Republican","Adults","2015-08-05 00:43:28","1438760608"
"108","Emerson College Polling Society","2015-07-26","2015-07-28","2015-08-11 2000-01-01 20:17:22 UTC",476,"Likely Voters - Republican","Automated Phone",31,5,8,4,15,2,3,4,2,6,0,1,0,0,NA,0,13,7,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22537","http://media.wix.com/ugd/3bebb2_6f8188f5b1ac4e45bd6a2bd76268e55a.pdf","Nonpartisan","None","Republican","Likely Voters","2015-08-11 20:17:22","1439349442"
"109","Quinnipiac","2015-07-23","2015-07-28","2015-08-03 2000-01-01 00:50:33 UTC",710,"Registered Voters - Republican","Live Phone",20,6,5,6,10,3,1,6,5,6,2,1,1,1,0,2,13,13,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22459","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2264","Nonpartisan","None","Republican","Registered Voters","2015-08-03 00:50:33","1438588233"
"110","Morning Consult","2015-07-23","2015-07-27","2015-07-29 2000-01-01 21:10:26 UTC",750,"Registered Voters - Republican","Internet",24,8,4,5,13,5,1,3,4,4,1,2,1,1,NA,1,9,NA,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22452","http://morningconsult.com/2015/07/week-before-debate-trump-has-the-lead/","Nonpartisan","None","Republican","Registered Voters","2015-07-29 21:10:26","1438229426"
"111","CNN","2015-07-22","2015-07-25","2015-07-27 2000-01-01 22:01:00 UTC",419,"Likely Voters - Republican","Live Phone",18,4,6,7,15,4,1,6,4,5,2,2,1,1,0,3,10,7,"http://elections.huffingtonpost.com/pollster/polls/cnn-22434","http://www.cnn.com/2015/07/26/politics/cnn-orc-data/index.html","Nonpartisan","None","Republican","Likely Voters","2015-07-27 22:01:00","1438059660"
"112","PPP (D)","2015-07-20","2015-07-21","2015-07-23 2000-01-01 17:55:26 UTC",524,"Likely Voters - Republican","IVR/Online",19,10,4,10,12,3,4,4,3,8,1,1,0,0,0,1,17,2,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22415","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_72215.pdf","Pollster","Dem","Republican","Likely Voters","2015-07-23 17:55:26","1437699326"
